,title,Running_time,Budget,Box_office,Release_date,imdb,metascore,rotten_tomatoes,Main_actor,Second_actor,Director
2,Pinocchio,88.0,2600000.0,164000000.0,1940-02-07,7.4,99.0,73%,Cliff Edwards,Dickie Jones,Ben Sharpsteen
3,Fantasia,126.0,2280000.0,83300000.0,1940-11-13,7.7,96.0,95%,Leopold Stokowski,Deems Taylor,Samuel Armstrong
5,Dumbo,64.0,950000.0,1300000.0,1941-10-23,7.2,96.0,98%,Edward Brophy,Herman Bing,Ben Sharpsteen
6,Bambi,70.0,858000.0,267400000.0,1942-08-09,7.3,91.0,90%,see below,missing,Supervising director
10,Make Mine Music,75.0,1350000.0,3275000.0,1946-04-20,6.3,60.0,70%,Nelson Eddy,missing,Jack Kinney
11,Song of the South,94.0,2125000.0,65000000.0,1946-11-12,7.1,54.0,50%,James Baskett,Bobby Driscoll,Live action:
13,Melody Time,75.0,1500000.0,2560000.0,1948-05-27,6.3,69.0,80%,Roy Rogers,Trigger,Jack Kinney
16,Cinderella,74.0,2900000.0,263600000.00000003,1950-02-15,6.9,67.0,83%,Ilene Woods,Eleanor Audley,Clyde Geronimi
18,Alice in Wonderland,75.0,3000000.0,5600000.0,1951-07-26,6.4,53.0,51%,Kathryn Beaumont,Ed Wynn,Clyde Geronimi
20,Peter Pan,77.0,4000000.0,87400000.0,1953-02-05,7.3,76.0,81%,Bobby Driscoll,Kathryn Beaumont,Clyde Geronimi
22,The Living Desert,69.0,300000.0,2600000.0,1953-11-10,7.5,69.0,74%,missing,missing,James Algar
25,"20,000 Leagues Under the Sea",127.0,5000000.0,28200000.0,1954-12-23,7.2,83.0,89%,Kirk Douglas,James Mason,Richard Fleischer
27,Lady and the Tramp,76.0,4000000.0,187000000.0,1955-06-22,7.3,78.0,93%,Barbara Luddy,Larry Roberts,Clyde Geronimi
40,Sleeping Beauty,75.0,6000000.0,51600000.0,1959-01-29,7.2,85.0,89%,Mary Costa,Bill Shirley,Clyde Geronimi (supervising)
